Kanton,Kantonsname,Jahr,Treibstoff,DATA_Inverkehrsetzung,DATA_Bestand,DATA_Bevölkerung_Vorjahr,DATA_Inverkehrsetzung pro 1000,DATA_Bestand pro 1000
AG,Aargau,2013,Benzin-elektrisch: Plug-in-Hybrid,24,20,627340.0,0.03825676666560398,0.03188063888800331
AG,Aargau,2013,Diesel,8485,82074,627340.0,13.525361048235407,130.8285778046992
AG,Aargau,2013,Diesel-elektrisch: Normal-Hybrid,44,101,627340.0,0.0701374055536073,0.16099722638441674
AG,Aargau,2013,Diesel-elektrisch: Plug-in-Hybrid,19,14,627340.0,0.030286606943603148,0.022316447221602323
AG,Aargau,2013,Elektrisch,105,167,627340.0,0.1673733541620174,0.2662033347148277
AG,Aargau,2013,Gas (mono- und bivalent),82,784,627340.0,0.13071061944081358,1.24972104440973
AG,Aargau,2013,Ohne Motor,0,0,627340.0,0.0,0.0
AG,Aargau,2013,Wasserstoff,0,0,627340.0,0.0,0.0
AG,Aargau,2014,Anderer,1,405,636362.0,0.0015714326122552886,0.636430207963392
AG,Aargau,2014,Benzin,14259,275840,636362.0,22.407057618148162,433.4639717644988
AG,Aargau,2014,Benzin-elektrisch: Normal-Hybrid,543,3467,636362.0,0.8532879084546218,5.448156866689086
AG,Aargau,2014,Benzin-elektrisch: Plug-in-Hybrid,53,60,636362.0,0.0832859284495303,0.09428595673531733
AG,Aargau,2014,Diesel,8318,90082,636362.0,13.071176468739491,141.5577925771809
AG,Aargau,2014,Diesel-elektrisch: Normal-Hybrid,33,131,636362.0,0.05185727620442453,0.2058576722054428
AG,Aargau,2014,Diesel-elektrisch: Plug-in-Hybrid,21,33,636362.0,0.03300008485736106,0.05185727620442453
AG,Aargau,2014,Elektrisch,170,328,636362.0,0.2671435440833991,0.5154298968197346
AG,Aargau,2014,Gas (mono- und bivalent),136,877,636362.0,0.21371483526671925,1.378146400947888
AG,Aargau,2014,Ohne Motor,0,0,636362.0,0.0,0.0
AG,Aargau,2014,Wasserstoff,0,0,636362.0,0.0,0.0
AG,Aargau,2015,Anderer,0,386,645277.0,0.0,0.5981927141367196
AG,Aargau,2015,Benzin,14171,273542,645277.0,21.961111274692886,423.9140710113641
AG,Aargau,2015,Benzin-elektrisch: Normal-Hybrid,632,3903,645277.0,0.9794243402445771,6.048565189833203
AG,Aargau,2015,Benzin-elektrisch: Plug-in-Hybrid,221,219,645277.0,0.3424885746741322,0.33938913055943415
AG,Aargau,2015,Diesel,9619,98193,645277.0,14.906776469640171,152.1718579772718
AG,Aargau,2015,Diesel-elektrisch: Normal-Hybrid,67,209,645277.0,0.10383137784238397,0.32389190998594397
AG,Aargau,2015,Diesel-elektrisch: Plug-in-Hybrid,13,46,645277.0,0.02014638674553719,0.07128721463805467
AG,Aargau,2015,Elektrisch,293,583,645277.0,0.45406856280326124,0.9034879594344755
AG,Aargau,2015,Gas (mono- und bivalent),175,997,645277.0,0.27120136003607753,1.5450728911769676
AG,Aargau,2015,Ohne Motor,0,0,645277.0,0.0,0.0
AG,Aargau,2015,Wasserstoff,1,0,645277.0,0.0015497220573490145,0.0
AG,Aargau,2016,Anderer,0,371,653675.0,0.0,0.5675603319692507
AG,Aargau,2016,Benzin,13849,272136,653675.0,21.186369373159444,416.3169770910621
AG,Aargau,2016,Benzin-elektrisch: Normal-Hybrid,678,4435,653675.0,1.0372126821432668,6.78471717596665
AG,Aargau,2016,Benzin-elektrisch: Plug-in-Hybrid,204,364,653675.0,0.3120816919723104,0.556851646460397
AG,Aargau,2016,Diesel,9625,106111,653675.0,14.724442574673958,162.3299040042835
AG,Aargau,2016,Diesel-elektrisch: Normal-Hybrid,50,262,653675.0,0.07649061077752706,0.4008108004742418
AG,Aargau,2016,Diesel-elektrisch: Plug-in-Hybrid,17,68,653675.0,0.0260068076643592,0.1040272306574368
AG,Aargau,2016,Elektrisch,261,897,653675.0,0.39928098825869124,1.3722415573488354
AG,Aargau,2016,Gas (mono- und bivalent),102,997,653675.0,0.1560408459861552,1.5252227789038897
AG,Aargau,2016,Ohne Motor,0,0,653675.0,0.0,0.0
AG,Aargau,2016,Wasserstoff,0,1,653675.0,0.0,0.0015298122155505411
AG,Aargau,2017,Anderer,0,357,663462.0,0.0,0.5380865822006385
AG,Aargau,2017,Benzin,14218,270154,663462.0,21.430014077671366,407.1883544196955
AG,Aargau,2017,Benzin-elektrisch: Normal-Hybrid,726,5041,663462.0,1.0942601083407941,7.598023699925542
AG,Aargau,2017,Benzin-elektrisch: Plug-in-Hybrid,272,618,663462.0,0.4099707292957246,0.9314776128851389
AG,Aargau,2017,Diesel,8648,111739,663462.0,13.034657599078772,168.41808573814328
AG,Aargau,2017,Diesel-elektrisch: Normal-Hybrid,16,281,663462.0,0.02411592525268968,0.4235359372503625
AG,Aargau,2017,Diesel-elektrisch: Plug-in-Hybrid,12,84,663462.0,0.018086943939517257,0.12660860757662082
AG,Aargau,2017,Elektrisch,365,1215,663462.0,0.5501445448269834,1.8313030738761225
AG,Aargau,2017,Gas (mono- und bivalent),58,999,663462.0,0.08742022904100008,1.505738082964812
AG,Aargau,2017,Ohne Motor,0,0,663462.0,0.0,0.0
AG,Aargau,2017,Wasserstoff,0,1,663462.0,0.0,0.001507245328293105
AG,Aargau,2018,Anderer,0,337,670988.0,0.0,0.5022444514655999
AG,Aargau,2018,Benzin,14639,269658,670988.0,21.817081676572457,401.88200087035835
AG,Aargau,2018,Benzin-elektrisch: Normal-Hybrid,848,5691,670988.0,1.2638079965662574,8.481522769408693
AG,Aargau,2018,Benzin-elektrisch: Plug-in-Hybrid,311,908,670988.0,0.4634956213822006,1.3532283736817947
AG,Aargau,2018,Diesel,6878,115421,670988.0,10.250555896677735,172.01648911754012
AG,Aargau,2018,Diesel-elektrisch: Normal-Hybrid,72,332,670988.0,0.10730445253864451,0.49479275337263856
AG,Aargau,2018,Diesel-elektrisch: Plug-in-Hybrid,5,89,670988.0,0.007451698092961425,0.13264022605471334
AG,Aargau,2018,Elektrisch,424,1579,670988.0,0.6319039982831287,2.3532462577572177
AG,Aargau,2018,Gas (mono- und bivalent),75,1018,670988.0,0.11177547139442136,1.517165731726946
AG,Aargau,2018,Ohne Motor,0,0,670988.0,0.0,0.0
AG,Aargau,2018,Wasserstoff,5,5,670988.0,0.007451698092961425,0.007451698092961425
AG,Aargau,2019,Anderer,0,332,678207.0,0.0,0.48952605915303143
AG,Aargau,2019,Benzin,14649,269036,678207.0,21.599600122086617,396.6871471394427
AG,Aargau,2019,Benzin-elektrisch: Normal-Hybrid,1531,6663,678207.0,2.2574228812147323,9.824434132941713
AG,Aargau,2019,Benzin-elektrisch: Plug-in-Hybrid,312,1136,678207.0,0.4600365375173066,1.6750048289091677
AG,Aargau,2019,Diesel,6056,118085,678207.0,8.929427151297466,174.1135081177281
AG,Aargau,2019,Diesel-elektrisch: Normal-Hybrid,297,533,678207.0,0.4379193962905131,0.7858957515920656
AG,Aargau,2019,Diesel-elektrisch: Plug-in-Hybrid,2,89,678207.0,0.0029489521635724784,0.1312283712789753
AG,Aargau,2019,Elektrisch,1126,2438,678207.0,1.6602600680913053,3.5947726873948516
AG,Aargau,2019,Gas (mono- und bivalent),86,1020,678207.0,0.12680494303361659,1.503965603421964
AG,Aargau,2019,Ohne Motor,0,0,678207.0,0.0,0.0
AG,Aargau,2019,Wasserstoff,2,7,678207.0,0.0029489521635724784,0.010321332572503675
AG,Aargau,2020,Anderer,0,320,685845.0,0.0,0.4665777252877837
AG,Aargau,2020,Benzin,9353,268648,685845.0,13.637192076927002,391.7036648222266
AG,Aargau,2020,Benzin-elektrisch: Normal-Hybrid,2056,8151,685845.0,2.99776188497401,11.884609496314765
AG,Aargau,2020,Benzin-elektrisch: Plug-in-Hybrid,1039,1844,685845.0,1.5149195517937726,2.6886541419708534
AG,Aargau,2020,Diesel,3910,119761,685845.0,5.7009965808601075,174.61817174434458
AG,Aargau,2020,Diesel-elektrisch: Normal-Hybrid,429,897,685845.0,0.625505762963935,1.3078756861973186
AG,Aargau,2020,Diesel-elektrisch: Plug-in-Hybrid,11,94,685845.0,0.016038609306767565,0.13705720680328645
AG,Aargau,2020,Elektrisch,1704,3680,685845.0,2.484526387157448,5.365643840809512
AG,Aargau,2020,Gas (mono- und bivalent),29,1008,685845.0,0.042283606354205396,1.4697198346565186
AG,Aargau,2020,Ohne Motor,0,0,685845.0,0.0,0.0
AG,Aargau,2020,Wasserstoff,10,14,685845.0,0.01458055391524324,0.020412775481340538
AG,Aargau,2021,Anderer,0,315,694072.0,0.0,0.45384340529512784
AG,Aargau,2021,Benzin,7287,266869,694072.0,10.49891077582729,384.4975737387475
AG,Aargau,2021,Benzin-elektrisch: Normal-Hybrid,3363,11270,694072.0,4.845318641293699,16.23750850055902
AG,Aargau,2021,Benzin-elektrisch: Plug-in-Hybrid,1571,3466,694072.0,2.263453935614749,4.99371823096163
AG,Aargau,2021,Diesel,2253,119708,694072.0,3.2460609273965813,172.47202019387038
AG,Aargau,2021,Diesel-elektrisch: Normal-Hybrid,715,1631,694072.0,1.030152491384179,2.3499002985281066
AG,Aargau,2021,Diesel-elektrisch: Plug-in-Hybrid,40,137,694072.0,0.05763090860890513,0.19738586198550007
AG,Aargau,2021,Elektrisch,2694,6110,694072.0,3.88144169480976,8.803121290010258
AG,Aargau,2021,Gas (mono- und bivalent),18,949,694072.0,0.02593390887400731,1.367293306746274
AG,Aargau,2021,Ohne Motor,0,0,694072.0,0.0,0.0
AG,Aargau,2021,Wasserstoff,10,24,694072.0,0.014407727152226282,0.03457854516534308
AG,Aargau,2022,Anderer,0,293,703086.0,0.0,0.41673422596951154
AG,Aargau,2022,Benzin,6558,262469,703086.0,9.327450695931935,373.30995070304346
AG,Aargau,2022,Benzin-elektrisch: Normal-Hybrid,3593,15188,703086.0,5.110327897298482,21.60190929701345
AG,Aargau,2022,Benzin-elektrisch: Plug-in-Hybrid,1264,4799,703086.0,1.797788606230248,6.825623039002341
AG,Aargau,2022,Diesel,1826,117391,703086.0,2.5971218314686966,166.96534990029667
AG,Aargau,2022,Diesel-elektrisch: Normal-Hybrid,781,2421,703086.0,1.1108171688811894,3.443390993420435
AG,Aargau,2022,Diesel-elektrisch: Plug-in-Hybrid,10,150,703086.0,0.014223011125239302,0.21334516687858954
AG,Aargau,2022,Elektrisch,3272,9314,703086.0,4.653769240178299,13.247312562047886
AG,Aargau,2022,Gas (mono- und bivalent),3,935,703086.0,0.004266903337571791,1.3298515402098747
AG,Aargau,2022,Ohne Motor,0,0,703086.0,0.0,0.0
AG,Aargau,2022,Wasserstoff,10,26,703086.0,0.014223011125239302,0.03697982892562219
AG,Aargau,2023,Anderer,0,269,711232.0,0.0,0.37821695311796993
AG,Aargau,2023,Benzin,6252,259784,711232.0,8.790380635292,365.25915594348965
AG,Aargau,2023,Benzin-elektrisch: Normal-Hybrid,4186,18798,711232.0,5.88556195446774,26.43019436695762
AG,Aargau,2023,Benzin-elektrisch: Plug-in-Hybrid,1681,6142,711232.0,2.3635044542427788,8.63571942769729
AG,Aargau,2023,Diesel,1671,114971,711232.0,2.3494443444614417,161.65048816701162
AG,Aargau,2023,Diesel-elektrisch: Normal-Hybrid,881,3424,711232.0,1.2386956717358049,4.814181589129848
AG,Aargau,2023,Diesel-elektrisch: Plug-in-Hybrid,32,180,711232.0,0.044992351300278954,0.25308197606406907
AG,Aargau,2023,Elektrisch,4389,13236,711232.0,6.170982183028885,18.609961306577883
AG,Aargau,2023,Gas (mono- und bivalent),3,906,711232.0,0.004218032934401152,1.2738459461891478
AG,Aargau,2023,Ohne Motor,0,0,711232.0,0.0,0.0
AG,Aargau,2023,Wasserstoff,14,35,711232.0,0.019684153693872043,0.049210384234680105
AG,Aargau,2024,Anderer,0,245,726894.0,0.0,0.3370505190577993
AG,Aargau,2024,Benzin,5066,256544,726894.0,6.9693793042727,352.93178922924113
AG,Aargau,2024,Benzin-elektrisch: Normal-Hybrid,4978,24007,726894.0,6.848316260692756,33.02682371845138
AG,Aargau,2024,Benzin-elektrisch: Plug-in-Hybrid,1424,7617,726894.0,1.9590201597481887,10.478831851686765
AG,Aargau,2024,Diesel,1622,111565,726894.0,2.2314120078030637,153.4818006476873
AG,Aargau,2024,Diesel-elektrisch: Normal-Hybrid,992,4692,726894.0,1.364710673083008,6.454861369057937
AG,Aargau,2024,Diesel-elektrisch: Plug-in-Hybrid,37,213,726894.0,0.05090150695974929,0.2930275941196378
AG,Aargau,2024,Elektrisch,3809,17531,726894.0,5.240103784045542,24.11768428409094
AG,Aargau,2024,Gas (mono- und bivalent),0,876,726894.0,0.0,1.2051275701821724
AG,Aargau,2024,Ohne Motor,0,0,726894.0,0.0,0.0
AG,Aargau,2024,Wasserstoff,4,28,726894.0,0.005502865617270194,0.03852005932089136
AI,Appenzell Innerrhoden,2010,Anderer,1,2,15688.0,0.06374298827129016,0.12748597654258031
AI,Appenzell Innerrhoden,2010,Benzin,350,6675,15688.0,22.310045894951553,425.48444671086185
AI,Appenzell Innerrhoden,2010,Benzin-elektrisch: Normal-Hybrid,3,16,15688.0,0.19122896481387047,1.0198878123406425
AI,Appenzell Innerrhoden,2010,Benzin-elektrisch: Plug-in-Hybrid,0,0,15688.0,0.0,0.0
AI,Appenzell Innerrhoden,2010,Diesel,177,1591,15688.0,11.282508924018359,101.41509433962264
AI,Appenzell Innerrhoden,2010,Diesel-elektrisch: Normal-Hybrid,0,0,15688.0,0.0,0.0
AI,Appenzell Innerrhoden,2010,Diesel-elektrisch: Plug-in-Hybrid,0,0,15688.0,0.0,0.0
AI,Appenzell Innerrhoden,2010,Elektrisch,0,0,15688.0,0.0,0.0
AI,Appenzell Innerrhoden,2010,Gas (mono- und bivalent),0,2,15688.0,0.0,0.12748597654258031
AI,Appenzell Innerrhoden,2010,Ohne Motor,0,0,15688.0,0.0,0.0
AI,Appenzell Innerrhoden,2010,Wasserstoff,0,0,15688.0,0.0,0.0
AI,Appenzell Innerrhoden,2011,Anderer,0,3,15688.0,0.0,0.19122896481387047
AI,Appenzell Innerrhoden,2011,Benzin,386,6691,15688.0,24.604793472718,426.5043345232025
